date,year,month,NDVI,Light,coordinates
2023-01-01,2023,1,0.2997108755803048,0.5595538098696703,"[76.2, 27.0, 76.5, 27.3]"
2023-02-01,2023,2,0.25046480430445106,0.8035869170504722,"[76.2, 27.0, 76.5, 27.3]"
2023-03-01,2023,3,0.1934573392623362,0.8801393724919824,"[76.2, 27.0, 76.5, 27.3]"
2023-04-01,2023,4,0.17484080541124322,0.9320178733978698,"[76.2, 27.0, 76.5, 27.3]"
2023-05-01,2023,5,0.16141960134838454,0.8477581955985901,"[76.2, 27.0, 76.5, 27.3]"
2023-06-01,2023,6,0.22399585062963226,0.7459638816803,"[76.2, 27.0, 76.5, 27.3]"
2023-07-01,2023,7,0.3317543313016215,0.671650011930005,"[76.2, 27.0, 76.5, 27.3]"
2023-08-01,2023,8,0.2700058114764124,0.7786550869815035,"[76.2, 27.0, 76.5, 27.3]"
2023-09-01,2023,9,0.40683566912820657,0.7537016628438375,"[76.2, 27.0, 76.5, 27.3]"
2023-10-01,2023,10,0.26687800345841994,0.926754693369151,"[76.2, 27.0, 76.5, 27.3]"
2023-11-01,2023,11,0.19642686650563357,1.0591639233878616,"[76.2, 27.0, 76.5, 27.3]"
2023-12-01,2023,12,0.23773265209794817,0.9643478044196376,"[76.2, 27.0, 76.5, 27.3]"
2024-01-01,2024,1,0.2333171960533741,0.7992036457606592,"[76.2, 27.0, 76.5, 27.3]"
2024-02-01,2024,2,0.20856409124793,0.9231166521863691,"[76.2, 27.0, 76.5, 27.3]"
2024-03-01,2024,3,0.18177663532304308,1.142646378483753,"[76.2, 27.0, 76.5, 27.3]"
2024-04-01,2024,4,0.12862298201262548,1.0515074012979138,"[76.2, 27.0, 76.5, 27.3]"
2024-05-01,2024,5,0.12415652332103808,0.947117928122517,"[76.2, 27.0, 76.5, 27.3]"
2024-06-01,2024,6,0.1067496197283068,0.8794371737900419,"[76.2, 27.0, 76.5, 27.3]"
2024-08-01,2024,8,0.4381837966936811,0.5412850968794443,"[76.2, 27.0, 76.5, 27.3]"
2024-09-01,2024,9,0.4042428082336704,0.7627061927764309,"[76.2, 27.0, 76.5, 27.3]"
2024-10-01,2024,10,0.3314788079468701,0.9676421056661739,"[76.2, 27.0, 76.5, 27.3]"
2024-11-01,2024,11,0.28059479722396163,1.0036185128438113,"[76.2, 27.0, 76.5, 27.3]"
2024-12-01,2024,12,0.30421064634253464,0.9826840174251662,"[76.2, 27.0, 76.5, 27.3]"
2025-01-01,2025,1,0.3080250082899191,0.8874535244515762,"[76.2, 27.0, 76.5, 27.3]"
2025-02-01,2025,2,0.3086472567054768,0.9058786042544278,"[76.2, 27.0, 76.5, 27.3]"
2025-03-01,2025,3,0.23634195470710728,1.0596403626042021,"[76.2, 27.0, 76.5, 27.3]"
2025-04-01,2025,4,0.16500812790905522,1.1275837242109146,"[76.2, 27.0, 76.5, 27.3]"
2025-05-01,2025,5,0.15039889110554894,0.9123734814219097,"[76.2, 27.0, 76.5, 27.3]"
2025-06-01,2025,6,0.21706758282545205,0.6988081473276141,"[76.2, 27.0, 76.5, 27.3]"
2025-09-01,2025,9,0.37893048827126885,0.9958587609680966,"[76.2, 27.0, 76.5, 27.3]"
2025-10-01,2025,10,0.32965673223858405,1.0289676121276001,"[76.2, 27.0, 76.5, 27.3]"
2025-11-01,2025,11,0.33088729558239577,0.9048483194226662,"[76.2, 27.0, 76.5, 27.3]"
